# NSAID zone depth edge out
3260 1035 0 1 0
3264 143 4 0 0
3267 371 6 0 0
3270 411 3 0 0
3271 652 4 0 0
3276 1035 0 1 0
3277 22 4 0 0
3279 1035 0 1 0
3281 1035 0 1 0
3286 652 3 0 0
3289 616 0 0 0
3290 371 6 0 0
3294 744 2 0 0
3298 22 3 0 0
3301 813 4 0 0
3303 813 2 0 0
3305 828 2 0 0
3307 813 3 0 0
3308 652 4 0 0
3310 143 4 0 0
3311 813 3 0 0
3312 850 2 0 0
3313 22 4 0 0
3315 371 6 0 0
3321 603 4 0 0
3327 371 6 0 0
3334 744 1 0 0
3339 371 6 0 0
3340 828 2 0 0
3341 603 3 0 0
3345 603 2 0 0
3349 603 2 0 0
3353 411 4 0 0
3354 744 1 0 0
3358 834 2 0 0
3359 744 1 0 0
3361 834 2 0 0
3363 834 2 0 0
3366 221 5 0 0
3367 1035 0 1 0
3370 1035 0 1 0
3372 1035 0 1 0
3374 1035 0 1 0
3382 603 2 0 0
3384 834 3 0 0
3386 603 3 0 0
3387 1035 0 1 0
3388 834 2 0 0
3397 1035 0 1 0
3402 1035 0 1 0
3405 450 3 0 0
3406 136 3 0 0
3407 603 3 0 0
3408 450 5 0 0
3409 371 8 0 0
3414 1035 0 1 0
3417 1035 0 1 0
3419 1035 0 1 0
3420 1035 0 1 0
3422 1035 0 1 0
3423 1035 0 1 0
3424 813 4 0 0
3429 136 4 0 0
3433 1035 0 1 0
3437 1035 0 1 0
3442 1035 0 1 0
3443 813 4 0 0
3445 221 3 0 0
3449 450 3 0 0
3450 744 1 0 0
3458 1035 0 1 0
3459 136 4 0 0
3462 1035 0 1 0
3463 744 2 0 0
3464 1035 0 1 0
3472 1035 0 1 0
3479 1035 0 1 0
3489 1035 0 1 0
3490 813 3 0 0
3493 1035 0 1 0
3504 1035 0 1 0
3507 1035 0 1 0
3513 1035 0 1 0
3514 1035 0 1 0
3516 143 5 0 0
3518 22 4 0 0
3520 813 3 0 0
3521 221 3 0 0
3538 813 2 0 0
3542 22 5 0 0
3547 1035 0 1 0
3550 411 4 0 0
3557 906 1 0 0
3563 828 2 0 0
3566 906 1 0 0
3570 143 4 0 0
3572 652 3 0 0
3581 371 5 0 0
3583 813 3 0 0
3591 828 2 0 0
3600 603 2 0 0
3601 744 2 0 0
3604 221 4 0 0
3613 1035 0 1 0
3620 136 5 0 0
3624 828 2 0 0
3625 744 1 0 0
3631 744 2 0 0
3638 1035 0 1 0
3640 652 4 0 0
3642 744 1 0 0
3643 652 3 0 0
3648 136 3 0 0
3650 828 3 0 0
3656 813 3 0 0
3657 603 2 0 0
3662 828 2 0 0
3667 371 8 0 0
3668 371 8 0 0
3670 1035 0 1 0
3679 136 3 0 0
3680 22 4 0 0
3681 813 4 0 0
3682 744 1 0 0
3683 813 3 0 0
3684 813 1 0 0
3685 813 3 0 0
3687 813 2 0 0
3689 744 1 0 0
3690 813 3 0 0
3691 411 2 0 0
3694 411 3 0 0
3696 411 3 0 0
3697 603 2 0 0
3698 371 7 0 0
3700 371 8 0 0
3701 603 2 0 0
3703 603 2 0 0
3704 1035 0 1 0
3705 744 1 0 0
3706 411 3 0 0
3708 411 4 0 0
3709 813 5 0 0
3710 411 1 0 0
3711 813 4 0 0
3712 450 2 0 0
3713 813 4 0 0
3714 411 3 0 0
3719 371 8 0 0
3721 411 2 0 0
3723 22 4 0 0
3724 450 4 0 0
3725 603 2 0 0
3727 603 2 0 0
3730 411 3 0 0
3731 411 3 0 0
3733 411 3 0 0
3734 411 2 0 0
3736 603 2 0 0
3738 603 1 0 0
3740 411 1 0 0
3742 411 3 0 0
3744 411 3 0 0
3746 503 1 0 0
3747 603 1 0 0
3755 450 3 0 0
3756 22 4 0 0
3757 411 2 0 0
3762 1035 0 1 0
3763 1035 0 1 0
3765 1035 0 1 0
3766 834 1 0 0
3769 1035 0 1 0
3774 411 2 0 0
3776 1035 0 1 0
3782 221 3 0 0
3783 1035 0 1 0
3787 1035 0 1 0
3788 1035 0 1 0
3792 1035 0 1 0
3794 411 4 0 0
3795 411 2 0 0
3797 617 1 0 0
3804 136 3 0 0
3806 411 2 0 0
3810 1035 0 1 0
3811 1035 0 1 0
3814 1035 0 1 0
3816 744 3 0 0
3818 744 4 0 0
3820 1035 0 1 0
3822 411 4 0 0
3824 136 3 0 0
3825 411 3 0 0
3826 411 2 0 0
3827 411 3 0 0
3835 1035 0 1 0
3836 1035 0 1 0
3837 411 2 0 0
3840 411 3 0 0
3841 136 4 0 0
3842 1035 0 1 0
3846 1035 0 1 0
3848 1035 0 1 0
